Athlete,Division,Event_ID,Event Type,Intensity Level,Day,Placement
Tia-Clair Toomey-Orr,Women,,,,,1.0
Laura Horvath,Women,,,,,2.0
Arielle Loewen,Women,,,,,3.0
Alex Gazan,Women,,,,,4.0
Brooke Wells,Women,,,,,5.0
Emma Tall,Women,,,,,6.0
Dani Speegle,Women,,,,,7.0
Gabriela Migała,Women,,,,,8.0
Manon Angonese,Women,,,,,9.0
Madeline Sturt,Women,,,,,10.0
Danielle Brandon,Women,,,,,11.0
Emily Rolfe,Women,,,,,12.0
Paige Semenza,Women,,,,,13.0
Sydney Wells,Women,,,,,14.0
Amanda Barnhart,Women,,,,,15.0
Haley Adams,Women,,,,,16.0
Dana Paran,Women,,,,,17.0
Taylor Williamson,Women,,,,,18.0
Tayla Howe,Women,,,,,19.0
Emma McQuaid,Women,,,,,20.0
Jeff Adler,Men,,,,,1.0
Brent Fikowski,Men,,,,,2.0
Jayson Hopper,Men,,,,,3.0
Ricky Garard,Men,,,,,4.0
Dallin Pepper,Men,,,,,5.0
Jay Crouch,Men,,,,,6.0
Guilherme Malheiros,Men,,,,,7.0
Justin Medeiros,Men,,,,,8.0
Patrick Vellner,Men,,,,,9.0
Jonne Koski,Men,,,,,10.0
James Sprague,Men,,,,,11.0
Chandler Smith,Men,,,,,12.0
Jorge Fernandez,Men,,,,,13.0
Samuel Kwant,Men,,,,,14.0
Sam Cournoyer,Men,,,,,15.0
Björgvin Karl Guðmundsson,Men,,,,,16.0
Saxon Panchik,Men,,,,,17.0
Henrik Haapalainen,Men,,,,,18.0
Noah Ohlsen,Men,,,,,19.0
Giorgos Karavis,Men,,,,,20.0
Tia-Clair Toomey-Orr,Women,E1,Endurance,4.0,Friday,1.0
Laura Horvath,Women,E1,Endurance,4.0,Friday,4.0
Arielle Loewen,Women,E1,Endurance,4.0,Friday,12.0
Alex Gazan,Women,E1,Endurance,4.0,Friday,13.0
Brooke Wells,Women,E1,Endurance,4.0,Friday,6.0
Emma Tall,Women,E1,Endurance,4.0,Friday,8.0
Dani Speegle,Women,E1,Endurance,4.0,Friday,18.0
