Rank,Athlete,Points,Division,E1,E2,E3,E4,E5,E6,E7,E8,E9
1,Tia-Clair Toomey-Orr,850 Puntos,Women,1: 20:31.82 | (8:43),1: 5:29.37 | (2:45),1: 6:14.89 | (1:08.34),1: 14:25.34 | (7:56.28),2: 6:47.09 | (--),8: 3 | (40.56),2: 14:38.23 | (7:06.21),2: 9:23.53 | (2:39.51),1: 4:13.28 | (2:47.80)
2,Laura Horvath,790 Puntos,Women,4: 21:19.05 | (9:05),3: 5:43.90 | (3:01),14: 9:24.66 | (2:11.34),2: 15:14.43 | (9:16.89),1: 6:33.76 | (--),1: 5 | (36.15),1: 13:34.65 | (6:31),1: 8:28.45 | (2:33.26),4: 5:04.59 | (3:16)
3,Arielle Loewen,570 Puntos,Women,12: 22:33.94 | (9:30),7: 6:54.32 | (3:14),7: 8:04.33 | (1:21.82),3: 15:29.32 | (9:05.06),16: CAP+10 | (3:22.87),9: 3 | (42.27),11: CAP+39 | (18:14),7: 10:46.26 | (3:01.54),3: 5:03.20 | (3:13)
4,Alex Gazan,565 Puntos,Women,13: 22:58.62 | (9:40),11: 7:22.72 | (3:11),13: 9:05.63 | (1:20.51),4: 15:39.01 | (8:59.65),7: CAP+5 | (3:20),6: 3 | (39.57),3: 16:36.84 | (7:59.01),13: 11:59.85 | (3:31.15),6: 5:09.37 | (3:23.59)
5,Brooke Wells,540 Puntos,Women,6: 21:53.71 | (9:17),14: 7:51.80 | (4:17),2: 7:13.90 | (1:21.01),17: CAP+16 | (13:04.28),5: CAP+3 | (3:20),19: 1 | (54.23),10: CAP+38 | (16:49),3: 9:34.99 | (2:43.96),5: 5:08.15 | (3:29.40)
6,Emma Tall,505 Puntos,Women,8: 22:05.63 | (9:21),15: 7:53.32 | (2:41),15: 9:31.12 | (1:32.94),7: CAP+0 | (10:10.46),4: CAP+3 | (3:04.77),2: 5 | (39.79),16: CAP+113 | (--),11: 11:46.01 | (3:27.78),10: 5:32.04 | (3:50)
7,Dani Speegle,500 Puntos,Women,18: 24:45.51 | (10:07),12: 7:33.44 | (3:51),3: 7:15.67 | (1:20.40),13: CAP+7 | (11:00),10: CAP+7 | (3:37.28),18: 1 | (49.12),7: 23:51.50 | (8:07),6: 10:41.50 | (3:01.88),2: 4:17.05 | (3:05)
8,Gabriela Migała,480 Puntos,Women,2: 20:42.54 | (8:47),2: 5:40.04 | (2:49),4: 7:33.98 | (1:20.42),9: CAP+2 | (10:32.76),3: CAP+1 | (2:57.43),10: 3 | (1:00),20: --,20: --,20: --
9,Manon Angonese,480 Puntos,Women,15: 23:27.81 | (9:28),5: 6:44.82 | (2:45),9: 8:12.11 | (1:22.37),8: CAP+2 | (10:15.44),13: CAP+8 | (3:25.69),7: 3 | (40.53),5: 20:23.98 | (8:17),17: 14:47.67 | (4:16.12),14: 6:47.17 | (3:47.03)
10,Madeline Sturt,475 Puntos,Women,9: 22:12.49 | (9:26),19: CAP+11 | (3:09),8: 8:09.26 | (1:45.55),5: 15:57.08 | (9:19.80),9: CAP+7 | (3:31.97),13: 2 | (43.84),4: 16:57.88 | (7:35.42),14: 12:17.13 | (3:36.58),13: 5:49.87 | (3:32)
11,Danielle Brandon,450 Puntos,Women,7: 21:57.73 | (9:18),10: 7:18.26 | (3:37),20: CAP+16 | (1:36.44),11: CAP+4 | (9:25.82),11: CAP+7 | (3:42.54),3: 4 | (37.93),16: CAP+113 | (--),4: 9:40.65 | (2:57),16: CAP+1 | (4:10.15)
12,Emily Rolfe,450 Puntos,Women,3: 21:04.38 | (8:50),18: CAP+7 | (3:42),11: 8:49.49 | (1:44.78),15: CAP+10 | (12:11),6: CAP+4 | (3:19.36),15: 2 | (52.90),13: CAP+40 | (8:31.02),9: 11:35.97 | (3:11.46),9: 5:28.71 | (3:31.60)
13,Paige Semenza,440 Puntos,Women,10: 22:20.97 | (9:14),9: 7:15.59 | (3:33),18: 11:55.35 | (2:26.20),10: CAP+3 | (9:48.01),14: CAP+8 | (3:34.84),5: 4 | (40.80),15: CAP+49 | (20:56),12: 11:48.69 | (3:42),8: 5:24.31 | (3:56)
14,Sydney Wells,435 Puntos,Women,11: 22:25.82 | (9:23),20: CAP+14 | (5:04),5: 7:38.89 | (1:21.47),20: CAP+56 | (--),8: CAP+6 | (3:37.56),14: 2 | (52.14),6: 20:33.03 | (9:12),5: 10:30.67 | (3:15.65),11: 5:42.46 | (3:21)
15,Amanda Barnhart,425 Puntos,Women,14: 23:07.26 | (9:41),13: 7:48.11 | (4:02),10: 8:38.91 | (1:46),6: CAP+0 | (10:05.68),17: CAP+11 | (3:58.77),12: 2 | (43.28),12: CAP+39 | (18:26),8: 11:24.28 | (3:40.18),12: 5:45.33 | (3:50.08)
